POS	Word	SenseKey	Sense Number	Total Senses	BNC Count	Tag Count	Sum Tag Count	Synset	Gloss
n	end	end%1:15:01::	9	14	45160	2	142	SID-08583423-N----{end}	a boundary marking the extremities of something; "the end of town"
n	end	end%1:10:00::	12	14	45160	0	142	SID-06410044-N----{conclusion, end, close, closing, ending}	the last section of a communication; "in conclusion I want to say..."
n	end	end%1:09:02::	4	14	45160	22	142	SID-05989760-N----{goal, end}	the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it; "the ends justify the means"
n	word	word%1:10:00::	1	10	43750	117	147	SID-06297048-N----{word}	a unit of language that native speakers can identify; "words are the blocks from which sentences are made"; "he hardly said ten words all morning"
n	news	news%1:10:00::	1	5	13223	21	41	SID-06654787-N----{news, intelligence, tidings, word}	information about recent and important events; "they awaited news of the outcome"
n	word	word%1:10:01::	6	10	43750	1	147	SID-07241961-N----{parole, word, word_of_honor}	a promise; "he gave his word"
n	password	password%1:10:00::	1	1	0	0	0	SID-06686933-N----{password, watchword, word, parole, countersign}	a secret word or phrase known only to a restricted group; "he forgot the password"
n	bible	bible%1:10:00::	1	2	2075	13	13	SID-06443410-N----{Bible, Christian_Bible, Book, Good_Book, Holy_Scripture, Holy_Writ, Scripture, Word_of_God, Word}	the sacred writings of the Christian religions; "he went to carry the Word to the heathen"
n	book	book%1:10:00::	1	11	37675	46	59	SID-06422547-N----{book}	a written work or composition that has been published (printed on pages bound together); "I am reading a good book on economics"
n	example	example%1:09:00::	1	6	43402	45	65	SID-05828980-N----{example, illustration, instance, representative}	an item of information that is typical of a class or group; "this patient provides a typical example of the syndrome"; "there is an example on page 10"
n	example	example%1:09:01::	3	6	43402	5	65	SID-05933998-N----{exemplar, example, model, good_example}	something to be imitated; "an exemplar of success"; "a model of clarity"; "he is the very model of a modern major general"
n	family	family%1:14:01::	4	8	42773	5	135	SID-07987168-N----{family, family_line, folk, kinfolk, kinsfolk, sept, phratry}	people descended from a common ancestor; "his family has lived in Massachusetts since the Mayflower"
n	fact	fact%1:10:01::	2	4	42241	34	133	SID-06648784-N----{fact}	a statement or assertion of verified information about something that is the case or has happened; "he supported his argument with an impressive array of facts"
n	state	state%1:15:01::	1	8	41351	108	192	SID-08671935-N----{state, province}	the territory occupied by one of the constituent administrative districts of a nation; "his state is in the deep south"
n	state	state%1:26:02::	5	8	41351	0	192	SID-14503199-N----{state_of_matter, state}	(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container); "the solid state of water is called ice"
n	percent	percent%1:24:00::	1	1	41205	64	64	SID-13839738-N----{percentage, percent, per_centum, pct}	a proportion in relation to a whole (which is usually the amount per hundred)
n	home	home%1:06:00::	2	9	39850	48	119	SID-03264208-N----{dwelling, home, domicile, abode, habitation, dwelling_house}	housing that someone is living in; "he built a modest dwelling near the pond"; "they raise money to provide homes for the homeless"
n	home	home%1:06:01::	9	9	39850	0	119	SID-03533280-N----{home, nursing_home, rest_home}	an institution where people are cared for; "a home for the elderly"
n	month	month%1:28:01::	1	2	39819	70	107	SID-15234209-N----{calendar_month, month}	one of the twelve divisions of the calendar year; "he paid the bill last month"
n	side	side%1:10:00::	10	12	39626	1	168	SID-06796122-N----{side, position}	an opinion that is held in opposition to another in an argument or dispute; "there are two sides to every question"
n	side	side%1:17:01::	11	12	39626	0	168	SID-09460358-N----{slope, incline, side}	an elevated geological formation; "he climbed the steep slope"; "the house was built on the side of a mountain"
n	side	side%1:15:00::	4	12	39626	12	168	SID-08527687-N----{side, face}	a surface forming part of the outside of an object; "he examined all sides of the crystal"; "dew dripped from the face of the leaf"; "they travelled across the face of the continent"
n	night	night%1:28:00::	1	8	39315	163	167	SID-15192074-N----{night, nighttime, dark}	the time after sunset and before sunrise while it is dark outside
n	center	center%1:15:01::	1	18	0	56	92	SID-08540894-N----{center, centre, middle, heart, eye}	an area that is approximately central within some larger region; "it is in the center of town"; "they ran forward into the heart of the struggle"; "they were in the eye of the storm"
n	eye	eye%1:08:00::	1	5	39192	263	277	SID-05318579-N----{eye, oculus, optic}	the organ of sight
n	head	head%1:06:04::	28	33	39000	0	254	SID-03506955-N----{head}	(usually plural) the obverse side of a coin that usually bears the representation of a person's head; "call heads or tails!"
n	head	head%1:18:00::	4	33	39000	6	254	SID-10182584-N----{head, chief, top_dog}	a person who is in charge; "the head of the whole operation"
n	head	head%1:08:00::	1	33	39000	208	254	SID-05546258-N----{head, caput}	the upper part of the human body or the front part of the body in animals; contains the face and brains; "he stuck his head out the window"
n	information	information%1:10:00::	1	5	38656	102	150	SID-06646883-N----{information, info}	a message received and understood
n	question	question%1:10:00::	1	6	38608	81	148	SID-07208256-N----{question, inquiry, enquiry, query, interrogation}	an instance of questioning; "there was a question about my training"; "we made inquiries of all those who were present"
n	doubt	doubt%1:07:00::	2	2	12628	4	30	SID-04764777-N----{doubt, dubiousness, doubtfulness, question}	uncertainty about the truth or factuality or existence of something; "the dubiousness of his claim"; "there is no question about the validity of the enterprise"
n	business	business%1:04:00::	3	9	38204	13	101	SID-00583425-N----{occupation, business, job, line_of_work, line}	the principal activity in your life that you do to earn money; "he's not in my line of business"
n	business	business%1:04:01::	2	9	38204	20	101	SID-01096649-N----{commercial_enterprise, business_enterprise, business}	the activity of providing goods and services involving financial and commercial and industrial aspects; "computers are now widely used in business"
n	power	power%1:14:00::	8	10	37963	1	115	SID-08194510-N----{world_power, major_power, great_power, power, superpower}	a state powerful enough to influence events throughout the world
n	power	power%1:18:00::	5	10	37963	7	115	SID-10480990-N----{power, force}	one possessing or exercising power or influence or authority; "the mysterious presence of an evil power"; "may the force be with you"; "the forces of evil"
n	tycoon	tycoon%1:18:00::	1	1	0	0	0	SID-09859605-N----{baron, big_businessman, business_leader, king, magnate, mogul, power, top_executive, tycoon}	a very wealthy or powerful businessman; "an oil baron"
n	money	money%1:21:02::	2	3	37892	15	92	SID-13271441-N----{money}	wealth reckoned in terms of money; "all his money is in real estate"
n	money	money%1:21:01::	3	3	37892	0	92	SID-13406050-N----{money}	the official currency issued by a government or national bank; "he changed his money into francs"
n	change	change%1:21:03::	9	10	37884	0	125	SID-13408652-N----{change}	money received in return for its equivalent in a larger denomination or a different currency; "he got change for a twenty and used it to pay the taxi driver"
n	change	change%1:11:00::	1	10	37884	46	125	SID-07311046-N----{change, alteration, modification}	an event that occurs when something passes from one state or phase to another; "the change was intended to increase sales"; "this storm is certainly a change for the worse"; "the neighborhood had undergone few modifications since his last visit years ago"
n	interest	interest%1:21:00::	4	7	37744	14	144	SID-13339606-N----{interest}	a fixed charge for borrowing money; usually a percentage of the amount borrowed; "how much interest do you pay on your mortgage?"
n	interest	interest%1:04:01::	7	7	37744	3	144	SID-00432492-N----{pastime, interest, pursuit}	a diversion that occupies one's time and thoughts (usually pleasantly); "sailing is her favorite pastime"; "his main pastime is gambling"; "he counts reading among his interests"; "they criticized the boy for his limited pursuits"
n	order	order%1:26:02::	5	15	37736	4	57	SID-14520294-N----{orderliness, order}	a condition of regular or proper arrangement; "he put his desk in order"; "the machine is now in working order"
n	order	order%1:10:00::	6	15	37736	2	57	SID-06551761-N----{decree, edict, fiat, order, rescript}	a legally binding command or decision entered on the court record (as if issued by a court or judge); "a friend in New Mexico said that the order caused no trouble out there"
n	order	order%1:10:04::	13	15	37736	0	57	SID-07294392-N----{order}	a request for something to be made, supplied, or served; "I gave the waiter my order"; "the company's products were in such demand that they got more orders than their call center could handle"
n	club	club%1:14:00::	2	7	20113	9	29	SID-08244135-N----{club, social_club, society, guild, gild, lodge, order}	a formal association of people with similar interests; "he joined a golf club"; "they formed a small lunch society"; "men from the fraternal order will staff the soup kitchen today"
n	koran	koran%1:10:00::	1	1	0	0	0	SID-06473279-N----{Koran, Quran, al-Qur'an, Book}	the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina
n	book	book%1:06:00::	2	11	37675	10	59	SID-02873453-N----{book, volume}	physical objects consisting of a number of pages bound together; "he used a large book as a doorstop"
n	development	development%1:22:01::	3	9	37386	11	135	SID-13510240-N----{growth, growing, maturation, development, ontogeny, ontogenesis}	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level; "he proposed an indicator of osseous development in children"
n	development	development%1:15:00::	6	9	37386	6	135	SID-08566645-N----{development}	a district that has been developed to serve some purpose; "such land is practical for small park developments"
n	room	room%1:06:00::	1	4	36360	116	129	SID-04112987-N----{room}	an area within a building enclosed by walls and floor and ceiling; "the rooms were very small but they had a nice view"
n	water	water%1:27:00::	1	6	35767	136	181	SID-14869913-N----{water, H2O}	binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n	urine	urine%1:27:00::	1	1	806	1	1	SID-14879875-N----{urine, piss, pee, piddle, weewee, water}	liquid excretory product; "there was blood in his urine"; "the child had to make water"
n	form	form%1:10:01::	8	16	35758	2	256	SID-06485234-N----{form}	a printed document with spaces in which to write; "he filled out his tax form"
n	form	form%1:14:02::	9	16	35758	1	256	SID-08128123-N----{form, variant, strain, var.}	(biology) a group of organisms within a species that differ in trivial ways from similar groups; "a new strain of microorganisms"
n	class	class%1:14:03::	2	8	24148	13	40	SID-08255384-N----{class, form, grade, course}	a body of students who are taught together; "early morning classes are always sleepy"
n	form	form%1:09:00::	3	16	35758	40	256	SID-05939522-N----{form, shape, pattern}	a perceptual structure; "the composition presents problems for students of musical form"; "a visual pattern must include not only objects but the spaces between them"
n	human_body	human_body%1:08:00::	1	1	0	2	2	SID-05224424-N----{human_body, physical_body, material_body, soma, build, figure, physique, anatomy, shape, bod, chassis, frame, form, flesh}	alternative names for the body of a human being; "Leonardo studied the human body"; "he has a strong physique"; "the spirit is willing but the flesh is weak"
n	railcar	railcar%1:06:00::	1	1	0	0	0	SID-02963378-N----{car, railcar, railway_car, railroad_car}	a wheeled vehicle adapted to the rails of railroad; "three cars had jumped the rails"
n	car	car%1:06:00::	1	5	35295	71	73	SID-02961779-N----{car, auto, automobile, machine, motorcar}	a motor vehicle with four wheels; usually propelled by an internal combustion engine; "he needs a car to get to work"
n	level	level%1:26:01::	2	8	34885	22	113	SID-14451564-N----{grade, level, tier}	a relative position or degree of value in a graded group; "lumber of the highest grade"
n	level	level%1:06:01::	8	8	34885	0	113	SID-03370837-N----{floor, level, storey, story}	a structure consisting of a room or set of rooms at a single position along a vertical scale; "what level is the office on?"
n	level	level%1:09:00::	7	8	34885	0	113	SID-06257026-N----{level, layer, stratum}	an abstract place usually conceived as having depth; "a good actor communicates on several levels"; "a simile has at least two layers of meaning"; "the mind functions on many strata simultaneously"
n	policy	policy%1:10:02::	3	3	34775	2	60	SID-06535632-N----{policy, insurance_policy, insurance}	written contract or certificate of insurance; "you should have read the small print on your policy"
n	council	council%1:14:01::	1	3	34496	8	8	SID-08327879-N----{council}	a body serving in an administrative capacity; "student council"
n	line	line%1:06:09::	30	30	33888	0	192	SID-04014761-N----{production_line, assembly_line, line}	mechanical system in a factory whereby an article is conveyed through sites at which successive operations are performed on it
n	line	line%1:14:01::	3	30	33888	15	192	SID-08447160-N----{line}	a formation of people or things one behind another; "the line stretched clear around the corner"; "you must wait in a long line at the checkout counter"
n	line	line%1:10:02::	5	30	33888	11	192	SID-07025650-N----{line}	text consisting of a row of words written across a page or computer screen; "the letter consisted of three short lines"; "there are six lines in every stanza"
n	line	line%1:09:01::	8	30	33888	10	192	SID-05781046-N----{argumentation, logical_argument, argument, line_of_reasoning, line}	a course of reasoning aimed at demonstrating a truth or falsehood; the methodical process of logical reasoning; "I can't follow your line of reasoning"
n	line	line%1:25:01::	12	30	33888	5	192	SID-13928798-N----{wrinkle, furrow, crease, crinkle, seam, line}	a slight depression or fold in the smoothness of a surface; "his face has many lines"; "ironing gets rid of most wrinkles"
n	line	line%1:06:03::	14	30	33888	4	192	SID-03676598-N----{line, railway_line, rail_line}	the road consisting of railroad track and roadbed
n	line	line%1:06:07::	15	30	33888	3	192	SID-04409192-N----{telephone_line, phone_line, telephone_circuit, subscriber_line, line}	a telephone connection
n	tune	tune%1:10:00::	1	3	1757	12	12	SID-07041860-N----{tune, melody, air, strain, melodic_line, line, melodic_phrase}	a succession of notes forming a distinctive sequence; "she was humming an air from Beethoven"
n	note	note%1:10:03::	2	9	12166	13	38	SID-06638793-N----{note, short_letter, line, billet}	a short personal letter; "drop me a line when you get there"
n	line	line%1:09:00::	29	30	33888	0	192	SID-05756783-N----{line, dividing_line, demarcation, contrast}	a conceptual separation or distinction; "there is a narrow line between sanity and insanity"
n	need	need%1:26:01::	4	4	33660	1	98	SID-14517300-N----{indigence, need, penury, pauperism, pauperization}	a state of extreme poverty or destitution; "their indigence appalled him"; "a general state of need exists among the homeless"
n	need	need%1:26:00::	1	4	33660	56	98	SID-14472592-N----{need, demand}	a condition requiring relief; "she satisfied his need for affection"; "God has no need of men to accomplish His work"; "there is a demand for jobs"
n	motivation	motivation%1:03:00::	1	3	1735	5	5	SID-00023953-N----{motivation, motive, need}	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior; "we did not understand his motivation"; "he acted with the best of motives"
n	effect	effect%1:19:00::	1	6	33423	101	124	SID-11430739-N----{consequence, effect, outcome, result, event, issue, upshot}	a phenomenon that follows and is caused by some previous phenomenon; "the magnetic effect was greater when the rod was lengthwise"; "his decision had depressing consequences for business"; "he acted very wise after the event"
n	use	use%1:22:00::	4	7	32998	1	118	SID-13472977-N----{consumption, economic_consumption, usance, use, use_of_goods_and_services}	(economics) the utilization of economic goods to satisfy needs or in manufacturing; "the consumption of energy has increased steadily"
n	use	use%1:07:00::	2	7	32998	18	118	SID-05156572-N----{function, purpose, role, use}	what something is used for; "the function of an auger is to bore holes"; "ballet is beautiful but what use is it?"
n	use	use%1:04:01::	5	7	32998	1	118	SID-00415192-N----{habit, use}	(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition; "owls have nocturnal habits"; "she had a habit twirling the ends of her hair"; "long use had hardened him to it"
n	estimate	estimate%1:09:00::	1	5	3599	13	23	SID-05811387-N----{estimate, estimation, approximation, idea}	an approximate calculation of quantity or degree or worth; "an estimate of what it would cost"; "a rough idea how long it would take"
n	theme	theme%1:10:02::	3	5	5428	0	14	SID-07042734-N----{theme, melodic_theme, musical_theme, idea}	(music) melodic subject of a musical composition; "the theme is announced in the first measures"; "the accompanist picked up the idea and elaborated it"
n	idea	idea%1:09:00::	1	5	32798	151	157	SID-05842164-N----{idea, thought}	the content of cognition; the main thing you are thinking about; "it was not a good idea"; "the thought never entered my mind"
n	study	study%1:10:00::	3	10	32786	6	131	SID-07233130-N----{report, study, written_report}	a written document describing the findings of some individual or group; "this accords with the recent study by Hill and Dale"
n	study	study%1:06:00::	5	10	32786	6	131	SID-04352106-N----{study}	a room used for reading and writing and studying; "he knocked lightly on the closed door of the study"
n	study	study%1:09:02::	6	10	32786	3	131	SID-06005806-N----{discipline, subject, subject_area, subject_field, field, field_of_study, study, bailiwick}	a branch of knowledge; "in what discipline is his doctorate?"; "teachers should be well trained in their subject"; "anthropology is the study of human beings"
n	fortune	fortune%1:26:00::	4	4	2973	1	10	SID-14496806-N----{fortune, destiny, fate, luck, lot, circumstances, portion}	your overall circumstances or condition in life (including everything that happens to you); "whatever my fortune may be"; "deserved a better fate"; "has a happy lot"; "the luck of the Irish"; "a victim of circumstances"; "success that was her portion"
n	lot	lot%1:15:00::	2	7	32733	5	29	SID-08692708-N----{lot}	a parcel of land having fixed boundaries; "he bought a lot on the lake"
n	lot	lot%1:23:00::	1	7	32733	13	29	SID-13796604-N----{batch, deal, flock, good_deal, great_deal, hatful, heap, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, pile, plenty, pot, quite_a_little, raft, sight, slew, spate, stack, tidy_sum, wad}	(often followed by `of') a large number or amount or extent; "a batch of letters"; "a deal of trouble"; "a lot of money"; "he made a mint on the stock market"; "see the rest of the winners in our huge passel of photos"; "it must have cost plenty"; "a slew of journalists"; "a wad of money"
n	job	job%1:06:00::	3	13	32484	4	123	SID-03604821-N----{job}	a workplace; as in the expression `on the job'
n	job	job%1:04:01::	2	13	32484	36	123	SID-00720957-N----{job, task, chore}	a specific piece of work required to be done as a duty or for a specific fee; "estimates of the city's loss on that job ranged as high as a million dollars"; "the job of repairing the engine took several hours"; "the endless task of classifying the samples"; "the farmer's morning chores"
